Array Shape: (100, 2)

[[5.54938957e-04 0.00000000e+00]
 [5.98592988e-04 4.25739837e-01]
 [6.45681045e-04 4.25749250e-01]
 [6.96473264e-04 4.25759402e-01]
 [7.51261030e-04 4.25770354e-01]
 [8.10358652e-04 4.25782167e-01]
 [8.74105163e-04 4.25794909e-01]
 [9.42866265e-04 4.25808654e-01]
 [1.01703643e-03 4.25823480e-01]
 [1.09704116e-03 4.25839472e-01]
 [1.18333942e-03 4.42718036e-01]
 [1.27642630e-03 4.42718036e-01]
 [1.37683582e-03 4.42718036e-01]
 [1.48514401e-03 4.42718036e-01]
 [1.60197222e-03 4.42718036e-01]
 [1.72799067e-03 4.62035335e-01]
 [1.86392230e-03 4.62035335e-01]
 [2.01054694e-03 4.62035335e-01]
 [2.16870574e-03 4.62035335e-01]
 [2.33930603e-03 4.73247752e-01]
 [2.52332653e-03 4.73247752e-01]
 [2.72182291e-03 4.73247752e-01]
 [2.93593392e-03 4.79353005e-01]
 [3.16688789e-03 4.79353005e-01]
 [3.41600975e-03 4.87234185e-01]
 [3.68472867e-03 4.87234185e-01]
 [3.97458624e-03 4.91119436e-01]
 [4.28724534e-03 4.91119436e-01]
 [4.62449963e-03 4.94228203e-01]
 [4.98828388e-03 4.94228203e-01]
 [5.38068506e-03 4.99779442e-01]
 [5.80395431e-03 5.04442100e-01]
 [6.26051985e-03 5.08216363e-01]
 [6.75300092e-03 5.11657354e-01]
 [7.28422280e-03 5.17318224e-01]
 [7.85723302e-03 5.20537918e-01]
 [8.47531883e-03 5.24200885e-01]
 [9.14202610e-03 5.26864777e-01]
 [9.86117961e-03 5.28752617e-01]
 [1.06369050e-02 5.37522008e-01]
 [1.14736525e-02 5.40407814e-01]
 [1.23762224e-02 5.47069177e-01]
 [1.33497925e-02 5.55505296e-01]
 [1.43999482e-02 5.56948199e-01]
 [1.55327138e-02 5.61832895e-01]
 [1.67545880e-02 5.67494689e-01]
 [1.80725804e-02 5.75043277e-01]
 [1.94942520e-02 5.80038097e-01]
 [2.10277589e-02 5.82258407e-01]
 [2.26818984e-02 5.89473970e-01]
 [2.44661601e-02 5.96023112e-01]
 [2.63907799e-02 6.02572809e-01]
 [2.84667991e-02 6.07790406e-01]
 [3.07061275e-02 6.13895105e-01]
 [3.31216116e-02 6.18002454e-01]
 [3.57271088e-02 6.25662892e-01]
 [3.85375663e-02 6.34099628e-01]
 [4.15691072e-02 6.39761607e-01]
 [4.48391229e-02 6.46755440e-01]
 [4.83663730e-02 6.52639334e-01]
 [5.21710927e-02 6.60187983e-01]
 [5.62751090e-02 6.71955400e-01]
 [6.07019659e-02 6.84499732e-01]
 [6.54770596e-02 6.91937948e-01]
 [7.06277841e-02 7.01597214e-01]
 [7.61836880e-02 7.14141114e-01]
 [8.21766446e-02 7.23799209e-01]
 [8.86410346e-02 7.35233108e-01]
 [9.56139430e-02 7.50997257e-01]
 [1.03135372e-01 7.63986588e-01]
 [1.11248471e-01 7.75198758e-01]
 [1.19999784e-01 7.86189138e-01]
 [1.29439515e-01 7.96180381e-01]
 [1.39621818e-01 8.07725761e-01]
 [1.50605107e-01 8.16273300e-01]
 [1.62452393e-01 8.26819605e-01]
 [1.75231639e-01 8.34035845e-01]
 [1.89016160e-01 8.45359311e-01]
 [2.03885034e-01 8.55128394e-01]
 [2.19923562e-01 8.68782727e-01]
 [2.37223753e-01 8.80882738e-01]
 [2.55884856e-01 8.90651697e-01]
 [2.76013927e-01 9.03751338e-01]
 [2.97726443e-01 9.14741594e-01]
 [3.21146964e-01 9.22068637e-01]
 [3.46409850e-01 9.30394386e-01]
 [3.73660030e-01 9.39275258e-01]
 [4.03053834e-01 9.47490265e-01]
 [4.34759888e-01 9.56593236e-01]
 [4.68960085e-01 9.62921820e-01]
 [5.05850626e-01 9.70026271e-01]
 [5.45643146e-01 9.75909795e-01]
 [5.88565926e-01 9.81460910e-01]
 [6.34865209e-01 9.86012580e-01]
 [6.84806604e-01 9.91118943e-01]
 [7.38676618e-01 9.93672155e-01]
 [7.96784293e-01 9.96336540e-01]
 [8.59462982e-01 9.99222962e-01]
 [9.27072264e-01 9.99777963e-01]
 [1.00000000e+00 1.00000000e+00]]
