Array Shape: (100, 2)

[[0.         0.        ]
 [0.01010101 0.34857685]
 [0.02020202 0.44805063]
 [0.03030303 0.52309279]
 [0.04040404 0.57404704]
 [0.05050505 0.62266899]
 [0.06060606 0.65841452]
 [0.07070707 0.68905399]
 [0.08080808 0.71103438]
 [0.09090909 0.73279255]
 [0.1010101  0.74999997]
 [0.11111111 0.76376523]
 [0.12121212 0.77431123]
 [0.13131313 0.78774438]
 [0.14141414 0.79928976]
 [0.15151515 0.80961379]
 [0.16161616 0.82104855]
 [0.17171717 0.82915201]
 [0.18181818 0.83781159]
 [0.19191919 0.84669184]
 [0.2020202  0.85168728]
 [0.21212121 0.86012445]
 [0.22222222 0.8651205 ]
 [0.23232323 0.87078242]
 [0.24242424 0.87588878]
 [0.25252525 0.8825494 ]
 [0.26262626 0.88676756]
 [0.27272727 0.89154102]
 [0.28282828 0.89553726]
 [0.29292929 0.89997855]
 [0.3030303  0.90308664]
 [0.31313131 0.90575109]
 [0.32323232 0.90997017]
 [0.33333333 0.91341134]
 [0.34343434 0.91718536]
 [0.35353535 0.92129259]
 [0.36363636 0.92429012]
 [0.37373737 0.92839747]
 [0.38383838 0.93128352]
 [0.39393939 0.93461414]
 [0.4040404  0.93716723]
 [0.41414141 0.94027569]
 [0.42424242 0.9423847 ]
 [0.43434343 0.94593699]
 [0.44444444 0.94837915]
 [0.45454545 0.95093255]
 [0.46464646 0.95381854]
 [0.47474747 0.95548391]
 [0.48484848 0.95681589]
 [0.49494949 0.95948027]
 [0.50505051 0.96170028]
 [0.51515152 0.96403151]
 [0.52525253 0.96536349]
 [0.53535354 0.96702898]
 [0.54545455 0.96902707]
 [0.55555556 0.97113658]
 [0.56565657 0.97291282]
 [0.57575758 0.97424529]
 [0.58585859 0.97568825]
 [0.5959596  0.97657646]
 [0.60606061 0.97790844]
 [0.61616162 0.97879665]
 [0.62626263 0.9796848 ]
 [0.63636364 0.98179406]
 [0.64646465 0.98290412]
 [0.65656566 0.98368128]
 [0.66666667 0.98567931]
 [0.67676768 0.98623437]
 [0.68686869 0.98723351]
 [0.6969697  0.98823252]
 [0.70707071 0.98889857]
 [0.71717172 0.9903416 ]
 [0.72727273 0.99100765]
 [0.73737374 0.99122962]
 [0.74747475 0.99178481]
 [0.75757576 0.99278407]
 [0.76767677 0.99311715]
 [0.77777778 0.99367216]
 [0.78787879 0.99444925]
 [0.7979798  0.99478234]
 [0.80808081 0.99511537]
 [0.81818182 0.99533734]
 [0.82828283 0.99567037]
 [0.83838384 0.99644759]
 [0.84848485 0.99644759]
 [0.85858586 0.99678068]
 [0.86868687 0.99700271]
 [0.87878788 0.99722475]
 [0.88888889 0.99744673]
 [0.8989899  0.99766876]
 [0.90909091 0.99800179]
 [0.91919192 0.99822389]
 [0.92929293 0.99833488]
 [0.93939394 0.99888994]
 [0.94949495 0.99933401]
 [0.95959596 0.99955599]
 [0.96969697 0.99977802]
 [0.97979798 1.        ]
 [0.98989899 1.        ]
 [1.         1.        ]]
