Array Shape: (100, 2)

[[5.54938957e-04 0.00000000e+00]
 [5.98592988e-04 1.03461020e-01]
 [6.45681045e-04 1.03461020e-01]
 [6.96473264e-04 1.03461020e-01]
 [7.51261030e-04 1.03461020e-01]
 [8.10358652e-04 1.03461020e-01]
 [8.74105163e-04 1.03461020e-01]
 [9.42866265e-04 1.03461020e-01]
 [1.01703643e-03 1.03461020e-01]
 [1.09704116e-03 1.03461020e-01]
 [1.18333942e-03 1.25693924e-01]
 [1.27642630e-03 1.25731138e-01]
 [1.37683582e-03 1.25771280e-01]
 [1.48514401e-03 1.25814579e-01]
 [1.60197222e-03 1.25861284e-01]
 [1.72799067e-03 1.50534448e-01]
 [1.86392230e-03 1.50534448e-01]
 [2.01054694e-03 1.50534448e-01]
 [2.16870574e-03 1.50534448e-01]
 [2.33930603e-03 1.73845212e-01]
 [2.52332653e-03 1.73845212e-01]
 [2.72182291e-03 1.73845212e-01]
 [2.93593392e-03 1.92604737e-01]
 [3.16688789e-03 1.92604737e-01]
 [3.41600975e-03 2.06372215e-01]
 [3.68472867e-03 2.06372215e-01]
 [3.97458624e-03 2.19914205e-01]
 [4.28724534e-03 2.19914205e-01]
 [4.62449963e-03 2.35120518e-01]
 [4.98828388e-03 2.35120518e-01]
 [5.38068506e-03 2.48108062e-01]
 [5.80395431e-03 2.52104978e-01]
 [6.26051985e-03 2.61651222e-01]
 [6.75300092e-03 2.82188955e-01]
 [7.28422280e-03 3.01282676e-01]
 [7.85723302e-03 3.05389902e-01]
 [8.47531883e-03 3.19044975e-01]
 [9.14202610e-03 3.28035787e-01]
 [9.86117961e-03 3.39139681e-01]
 [1.06369050e-02 3.56236053e-01]
 [1.14736525e-02 3.63673036e-01]
 [1.23762224e-02 3.76773971e-01]
 [1.33497925e-02 3.82768483e-01]
 [1.43999482e-02 3.86647552e-01]
 [1.55327138e-02 4.00531391e-01]
 [1.67545880e-02 4.20407148e-01]
 [1.80725804e-02 4.30510180e-01]
 [1.94942520e-02 4.45497291e-01]
 [2.10277589e-02 4.54711496e-01]
 [2.26818984e-02 4.71471269e-01]
 [2.44661601e-02 4.81018438e-01]
 [2.63907799e-02 4.93230238e-01]
 [2.84667991e-02 5.14211614e-01]
 [3.07061275e-02 5.25424216e-01]
 [3.31216116e-02 5.36303854e-01]
 [3.57271088e-02 5.50291705e-01]
 [3.85375663e-02 5.64833386e-01]
 [4.15691072e-02 5.80706859e-01]
 [4.48391229e-02 5.99244839e-01]
 [4.83663730e-02 6.15008803e-01]
 [5.21710927e-02 6.30439927e-01]
 [5.62751090e-02 6.44870990e-01]
 [6.07019659e-02 6.58414520e-01]
 [6.54770596e-02 6.73512126e-01]
 [7.06277841e-02 6.89053991e-01]
 [7.61836880e-02 7.04040424e-01]
 [8.21766446e-02 7.13254937e-01]
 [8.86410346e-02 7.29684150e-01]
 [9.56139430e-02 7.40341628e-01]
 [1.03135372e-01 7.51331946e-01]
 [1.11248471e-01 7.63765228e-01]
 [1.19999784e-01 7.73200731e-01]
 [1.29439515e-01 7.85745680e-01]
 [1.39621818e-01 7.97402664e-01]
 [1.50605107e-01 8.08170390e-01]
 [1.62452393e-01 8.21270585e-01]
 [1.75231639e-01 8.32926707e-01]
 [1.89016160e-01 8.44360791e-01]
 [2.03885034e-01 8.53796664e-01]
 [2.19923562e-01 8.64565376e-01]
 [2.37223753e-01 8.72447481e-01]
 [2.55884856e-01 8.84103418e-01]
 [2.76013927e-01 8.92540030e-01]
 [2.97726443e-01 9.01754544e-01]
 [3.21146964e-01 9.08970784e-01]
 [3.46409850e-01 9.18517706e-01]
 [3.73660030e-01 9.28397468e-01]
 [4.03053834e-01 9.36834204e-01]
 [4.34759888e-01 9.45936990e-01]
 [4.68960085e-01 9.54817739e-01]
 [5.05850626e-01 9.61811326e-01]
 [5.45643146e-01 9.69138122e-01]
 [5.88565926e-01 9.76354424e-01]
 [6.34865209e-01 9.81238996e-01]
 [6.84806604e-01 9.86900483e-01]
 [7.38676618e-01 9.91340672e-01]
 [7.96784293e-01 9.94782341e-01]
 [8.59462982e-01 9.96780676e-01]
 [9.27072264e-01 9.98223887e-01]
 [1.00000000e+00 1.00000000e+00]]
